Post_ID,Platform,Content_Type,Likes,Comments,Shares,Saves,Followers,Ad_Spend,Impressions,Reach,Post_Hour,Day,Total_Engagement,Engagement_Rate (%),CTR (%),Cost_Per_Engagement
1,LinkedIn,Image,10355,1200,349,242,135768,46653,36158,68399,3,Mon,12146,8.946143421130163,33.59145970462968,3.841017618969208
2,Twitter,Carousel,9738,760,21,429,8667,24893,231795,196818,19,Mon,10948,126.31821853005654,4.723138980564723,2.2737486298867373
3,Instagram,Text,7856,2306,828,1205,132710,1530,4917,290152,22,Tue,12195,9.189209554668073,248.0170835875534,0.12546125461254612
4,LinkedIn,Image,11956,784,566,808,22660,31241,226019,116689,23,Mon,14114,62.28596646072374,6.2446077542153535,2.213475981295168
5,LinkedIn,Reel,15864,2821,651,1496,77089,24297,342886,198559,6,Tue,20832,27.02331071877959,6.075488646372264,1.1663306451612903
6,Twitter,Carousel,3702,1390,634,375,87462,9302,406836,246071,13,Tue,6101,6.975600832361482,1.4996214690931973,1.5246680871988199
7,Instagram,Text,5162,701,1406,80,193770,48906,390474,248095,3,Sat,7349,3.7926407596635188,1.8820715335720175,6.654782963668526
8,Instagram,Reel,11977,2877,822,419,140880,715,209430,15680,3,Mon,16095,11.424616695059624,7.685145394642601,0.04442373407890649
9,LinkedIn,Reel,7344,728,64,466,99148,9533,104246,127651,23,Thu,8602,8.675918828418123,8.251635554361798,1.1082306440362706
10,YouTube,Reel,6472,243,1665,1451,176571,40295,468106,124823,13,Sun,9831,5.567731960514467,2.100165347164958,4.098769199471061
11,LinkedIn,Reel,7205,2081,471,1080,164087,7223,25691,55503,6,Fri,10837,6.604423263268876,42.182087112218284,0.6665128725662084
12,LinkedIn,Image,19246,1414,632,1345,38351,13421,483706,183672,14,Fri,22637,59.02584026492138,4.679908870264169,0.5928789150505809
13,LinkedIn,Image,12329,1015,395,1289,185734,27696,71734,282963,11,Thu,15028,8.091141094253071,20.94961942732874,1.8429598083577323
14,LinkedIn,Image,17056,1379,940,1250,126359,14066,27046,285858,13,Mon,20625,16.322541330653138,76.25896620572358,0.6819878787878788
15,Twitter,Text,7805,1411,689,828,79674,44047,154458,53361,12,Tue,10733,13.47114491553079,6.948814564477075,4.1038852138265165
16,Instagram,Text,13994,2579,1215,803,41241,21576,405487,97149,18,Wed,18591,45.078926311195175,4.5848572210699725,1.1605615620461514
17,Twitter,Text,12380,2074,502,1077,137270,16585,153598,214781,11,Thu,16033,11.679900925183945,10.438286956861416,1.0344289902076966
18,Twitter,Video,714,2302,604,977,97983,2140,119540,50155,15,Fri,4597,4.69163018074564,3.845574703028275,0.46552099195127256
19,Twitter,Text,4150,2775,1743,3,107299,42016,44798,228985,15,Fri,8671,8.081156394747389,19.355774811375507,4.8455772113943025
20,LinkedIn,Image,16809,2827,1389,1462,148185,36439,124293,188675,0,Tue,22487,15.174950231130008,18.091927944453833,1.6204473695913195
21,YouTube,Image,15822,726,1851,1333,107839,41378,419473,101901,14,Fri,19732,18.29764741883734,4.7039976351278865,2.0969997972836003
22,Instagram,Video,15310,1572,1860,602,43639,7370,190057,112392,4,Fri,19344,44.32732189096909,10.177999231809405,0.3809966914805624
23,YouTube,Video,16842,1721,453,1112,69036,29516,447346,272301,5,Tue,20128,29.1558027695695,4.499425500619208,1.4664149443561207
24,Twitter,Text,3877,1235,1722,319,90223,12022,248192,117085,20,Mon,7153,7.928133624463829,2.882042934502321,1.6806934153502027
25,Twitter,Carousel,6006,1281,1892,1398,72983,18328,75396,243217,16,Sun,10577,14.492416042091993,14.028595681468515,1.7328164886073556
26,YouTube,Video,1821,2175,684,500,131164,2929,420861,168056,10,Sat,5180,3.949254368576743,1.2308101724797498,0.5654440154440155
27,YouTube,Reel,17833,18,1209,1257,79944,43727,418405,292221,3,Sun,20317,25.414039827879513,4.855821512649228,2.1522370428705027
28,YouTube,Image,3996,607,1840,1360,127427,3383,82298,179171,17,Fri,7803,6.123506007361077,9.48139687477217,0.4335511982570806
29,Twitter,Reel,7041,32,1987,570,22674,49545,133040,31058,19,Sat,9630,42.47155332098439,7.238424533974744,5.144859813084112
30,Twitter,Image,13564,2000,134,184,17413,27432,268944,226777,13,Sat,15882,91.20771837133177,5.9053185793325005,1.7272383830751794
31,Instagram,Image,5346,2297,153,1461,59986,11111,418445,224946,22,Mon,9257,15.431934117960857,2.2122381675011056,1.2002808685319217
32,Instagram,Video,8484,1618,1500,555,184009,48338,321668,260474,8,Wed,12157,6.6067420615296,3.7793625725903723,3.976145430616106
33,Twitter,Video,19061,2084,822,1203,28071,39778,97585,132782,2,Mon,23170,82.54070036692673,23.74340318696521,1.716788951230039
34,YouTube,Reel,15469,1114,1749,1099,79229,31899,423933,64307,2,Tue,19431,24.525110754900354,4.583507299502516,1.641655087231743
35,YouTube,Image,16575,2256,1651,892,179903,23161,383423,205166,10,Tue,21374,11.880846900829892,5.574522133518334,1.0836062505848227
36,Instagram,Reel,13744,2832,952,1295,127116,8823,481519,265487,19,Tue,18823,14.80773466754775,3.9090876995507964,0.46873505817351113
37,Twitter,Carousel,11208,101,504,54,87306,27432,467222,211443,22,Fri,11867,13.592422055757908,2.539906083189576,2.3116204600994354
38,Instagram,Reel,8228,860,1677,862,177443,33089,393069,282478,21,Thu,11627,6.552526726892579,2.958004828668758,2.8458759783263092
39,Instagram,Text,17559,1992,1383,76,133345,21053,457454,93763,4,Fri,21010,15.756121339382803,4.592811517660792,1.0020466444550213
40,LinkedIn,Reel,18997,1117,1944,295,72542,17447,136891,184242,3,Mon,22353,30.81387334233961,16.3290501201686,0.7805216302062363
41,LinkedIn,Text,8268,309,1239,1242,10213,24305,319928,203752,11,Wed,11058,108.27376872613337,3.456402690605386,2.1979562307831433
42,LinkedIn,Text,6961,2353,662,1300,68815,3111,233611,111350,23,Wed,11276,16.385962362856933,4.826827503841857,0.27589570769776517
43,YouTube,Text,9090,2704,1624,745,187371,27493,88175,239704,11,Wed,14163,7.558800454712842,16.062375956903885,1.9411847772364612
44,Twitter,Carousel,13850,1487,1058,1289,172708,10985,464052,83564,3,Sat,17684,10.239247747643422,3.8107798263987656,0.6211829902736937
45,Twitter,Reel,17088,1314,581,899,68948,3086,47935,66053,2,Wed,19882,28.83622440099785,41.47700010430791,0.15521577306106027
46,Twitter,Reel,3079,1010,1052,42,80066,46203,442645,247856,22,Sat,5183,6.473409437214298,1.170915745123067,8.914335327030678
47,Twitter,Carousel,7165,1092,988,1384,52128,44930,483545,165627,1,Thu,10629,20.390193370165747,2.198140814195163,4.227114498071314
48,LinkedIn,Image,5016,2966,1971,1251,54504,23464,208679,33702,3,Sun,11204,20.55628944664612,5.36901173572808,2.094252052838272
49,YouTube,Video,697,2928,727,226,75500,41918,136070,39305,23,Wed,4578,6.063576158940397,3.364444771073712,9.156400174748798
50,YouTube,Reel,5722,1375,226,1086,57340,36911,42750,107714,3,Sat,8409,14.665155214509939,19.67017543859649,4.389463669877512
51,LinkedIn,Video,18361,2810,606,170,134222,6332,399396,176510,6,Fri,21947,16.35126879349138,5.495047521757854,0.2885132364332255
52,YouTube,Carousel,12264,2399,1646,962,39070,39215,341432,220656,1,Wed,17271,44.20527258766317,5.058401087185736,2.2705691621793758
53,LinkedIn,Image,1799,2119,688,761,78285,42542,293657,180096,10,Tue,5367,6.855719486491665,1.8276424536108453,7.926588410657723
54,Twitter,Image,17200,785,746,849,128405,40631,104725,179087,4,Mon,19580,15.248627389899147,18.69658629744569,2.0751276813074564
55,LinkedIn,Image,13529,2682,929,306,150948,3176,18879,110668,12,Fri,17446,11.557622492513978,92.40955559086817,0.18204746073598532
56,Twitter,Carousel,13896,1462,1617,567,187748,2416,353042,71731,3,Thu,17542,9.343375162451798,4.968813908826712,0.13772659901949608
57,Twitter,Text,4186,1691,584,991,23262,40436,324977,79914,8,Fri,7452,32.035078669074025,2.2930853568098666,5.426194310252281
58,Instagram,Text,765,1761,1905,33,107409,8651,15316,255256,6,Tue,4464,4.156076306454767,29.145991120396967,1.937948028673835
59,LinkedIn,Video,14705,2313,405,826,160126,10486,487396,234388,12,Wed,18249,11.396650138016312,3.7441833745045097,0.5746068277713847
60,Instagram,Text,17563,2885,1893,129,159123,18695,470651,5386,9,Wed,22470,14.12115156199921,4.774238235975277,0.8319982198486872
61,LinkedIn,Text,8519,1861,905,1417,164457,1229,156597,4271,6,Thu,12702,7.723599481931447,8.111266499358226,0.09675641631239175
62,LinkedIn,Image,15284,1907,1632,1174,40587,1530,268522,59570,17,Sun,19997,49.26947052011728,7.447062065678045,0.07651147672150822
63,Instagram,Image,1169,1739,516,654,133595,45585,180741,81130,17,Mon,4078,3.0525094502039747,2.256267255354347,11.178273663560569
64,Instagram,Video,5363,1337,92,629,60131,42347,396793,217004,1,Wed,7421,12.341387969599706,1.8702446867762283,5.706373804069532
65,LinkedIn,Reel,16209,624,1493,1407,98019,35565,153762,91710,20,Sat,19733,20.131811179465206,12.833469908039696,1.8023108498454365
66,YouTube,Video,8051,254,54,1040,163725,1363,369581,177918,0,Thu,9399,5.74072377462208,2.543150216055479,0.14501542717310353
67,Twitter,Video,13019,766,107,593,180862,37270,231611,126390,12,Sun,14485,8.008868640178699,6.254020750309787,2.573006558508802
68,Instagram,Carousel,1463,833,372,1037,47018,16836,247818,156059,22,Sun,3705,7.8799608660513,1.4950487858024841,4.54412955465587
69,Twitter,Carousel,4608,2837,940,80,122177,20288,190586,84264,1,Sun,8465,6.928472625780629,4.441564438101434,2.39669226225635
70,YouTube,Video,1855,2789,1520,1230,197064,22380,213249,131030,3,Wed,7394,3.752080542361872,3.467308170261056,3.0267784690289425
71,YouTube,Video,619,1856,1586,203,190912,45869,455178,177510,8,Sat,4264,2.233489775393899,0.9367763819868271,10.757270168855534
72,YouTube,Video,11836,1445,1719,1402,90184,49729,463411,279562,7,Sun,16402,18.187261598509714,3.5394067037683614,3.0318863553225217
73,Instagram,Text,10614,2935,1807,22,102292,20303,78383,40845,17,Fri,15378,15.033433699605053,19.619050049117792,1.3202627129665756
74,YouTube,Carousel,14788,1250,1296,613,49561,43972,350432,140048,15,Thu,17947,36.21194084058029,5.121393023468176,2.450103081294924
75,Instagram,Video,7333,525,1425,1185,121981,7317,345120,273505,3,Thu,10468,8.581664357563882,3.033147890588781,0.6989873901413832
76,YouTube,Image,1202,483,1348,143,146142,3264,469836,194482,3,Thu,3176,2.173228777490386,0.6759805549170349,1.0277078085642317
77,Twitter,Image,697,45,1548,103,175097,18315,336152,254988,17,Wed,2393,1.3666710451920936,0.7118803398462601,7.653572921019641
78,Twitter,Text,14047,1420,1477,1405,38779,37010,413169,88281,1,Thu,18349,47.31684674695067,4.441039865043118,2.0170036514251457
79,LinkedIn,Text,19757,1802,1805,1478,152688,12693,195260,19267,20,Fri,24842,16.269778895525516,12.72252381440131,0.5109491989372836
80,Twitter,Reel,12341,1744,1504,1440,100909,16566,218072,234680,10,Mon,17029,16.87560078882954,7.808888807366375,0.9728110869692876
81,LinkedIn,Reel,5881,839,902,323,122715,24811,193872,125774,19,Mon,7945,6.474351138817585,4.0980647024841135,3.1228445563247327
82,Twitter,Reel,10897,1102,1618,1194,105477,33405,245972,113119,23,Tue,14811,14.041923831735827,6.021417071861838,2.2554182702045775
83,Instagram,Text,6356,2423,913,575,106688,19856,351441,216761,3,Fri,10267,9.623387822435513,2.9214007472093466,1.9339631830135384
84,Twitter,Text,10480,1195,1268,273,122016,49676,347012,140140,23,Fri,13216,10.83136637817991,3.808513826611183,3.758777239709443
85,LinkedIn,Text,8880,1772,262,451,136869,27366,345286,122152,13,Thu,11365,8.303560338718045,3.2914743140469063,2.4079190497140344
86,LinkedIn,Image,6654,954,1736,880,175961,46970,436815,105866,20,Sun,10224,5.810378436130733,2.3405789636344907,4.594092331768388
87,YouTube,Text,12764,1521,1972,124,149666,35138,357678,53150,16,Tue,16381,10.945037617094062,4.579817601306202,2.1450460899822965
88,Instagram,Image,9699,440,1870,1406,52754,42244,38985,156039,7,Sat,13415,25.42935132880919,34.41067077080929,3.1490122996645544
89,Twitter,Reel,15611,2032,1671,316,58639,42683,407753,46077,0,Sat,19630,33.47601425672334,4.814188982055312,2.174375955170657
90,YouTube,Reel,4946,868,1992,106,17669,10638,305861,258072,18,Fri,7912,44.77899145395891,2.5867959628720234,1.3445399393326594
91,Twitter,Reel,6705,239,394,906,134239,20816,403243,118852,18,Fri,8244,6.141285319467517,2.044424825725431,2.524987869966036
92,Twitter,Video,10351,2427,1371,1486,89509,20598,396752,60499,20,Fri,15635,17.467517232903955,3.9407488809130133,1.3174288455388552
93,YouTube,Video,16143,187,777,429,157157,42541,265669,124458,6,Wed,17536,11.158268483109248,6.600694849606088,2.425923813868613
94,YouTube,Carousel,12864,1443,758,703,33787,10652,141248,155767,0,Fri,15768,46.66883712670554,11.163343905754418,0.6755454084221207
95,YouTube,Carousel,3086,2625,1415,1360,29051,16963,215349,64883,0,Sat,8486,29.210698426904408,3.940580174507428,1.9989394296488334
96,YouTube,Carousel,500,1623,398,971,191638,48511,71423,159794,9,Wed,3492,1.8221855790605206,4.889181356145779,13.892038946162657
97,YouTube,Video,19339,2850,687,361,55615,32223,90642,207611,12,Sun,23237,41.78189337408973,25.63601862271353,1.3867108490769031
98,Twitter,Video,10516,1773,1687,795,188334,31024,81383,294931,21,Sat,14771,7.842981086792614,18.149982183011193,2.1003317310947125
99,YouTube,Carousel,3512,2957,274,431,173711,3941,339932,250823,4,Fri,7174,4.129847850740598,2.1104220844168835,0.5493448564259827
100,Instagram,Carousel,16540,1784,153,674,141361,8387,71013,59428,11,Sun,19151,13.547583845615128,26.968301578584203,0.43794057751553445
101,LinkedIn,Text,1975,984,1408,858,124123,8524,125326,130395,2,Sat,5225,4.2095340911837456,4.169126917000463,1.6313875598086125
102,YouTube,Carousel,4398,91,815,1429,160816,35859,280899,20928,18,Mon,6733,4.186772460451697,2.396946945343344,5.325857715728501
103,YouTube,Text,3868,855,32,1013,133814,37486,282752,51638,3,Sun,5768,4.310460788856173,2.039950203712087,6.498959778085991
104,Twitter,Image,5852,2819,1177,1400,22945,41617,117562,233046,14,Wed,11248,49.02157332752234,9.56771745972338,3.6999466571834994
105,YouTube,Video,12589,1226,1448,1175,119135,25279,60843,126106,12,Sun,16438,13.797792420363454,27.017076738490868,1.5378391531816522
106,YouTube,Carousel,1453,627,284,1345,193036,26025,315657,89893,10,Wed,3709,1.9214032615677903,1.1750095831868135,7.016716095982745
107,YouTube,Video,6697,2273,1210,1237,160299,17636,475847,280776,1,Sun,11417,7.1223151735194845,2.3993006155339844,1.544714022948235
108,Twitter,Video,14791,2347,170,575,87494,41483,334784,181481,8,Thu,17883,20.43911582508515,5.3416531255974,2.3196890901973943
109,YouTube,Video,4411,454,21,1088,146006,43224,362590,255629,11,Fri,5974,4.091612673451776,1.647590942938305,7.235353197187814
110,LinkedIn,Image,15407,932,1178,892,181602,13277,414909,26195,3,Tue,18409,10.137002896443873,4.436876519911595,0.7212233146830355
111,Twitter,Reel,10894,2609,343,269,58168,48718,452124,140469,18,Sun,14115,24.26591940585889,3.1219311516309687,3.4515054906128233
112,LinkedIn,Carousel,3034,202,1073,1123,81086,35190,489155,219546,9,Tue,5432,6.699060257011075,1.110486451124899,6.478276877761414
113,Twitter,Reel,16506,1672,1530,1128,126915,40995,275870,199757,10,Tue,20836,16.417287160698105,7.552832856055389,1.9675081589556538
114,YouTube,Reel,10494,298,846,1154,74560,41735,270042,267067,6,Tue,12792,17.15665236051502,4.73704090474815,3.262585991244528
115,LinkedIn,Reel,17693,2640,193,1412,36772,49179,84508,247555,12,Mon,21938,59.659523550527574,25.959672457045485,2.2417266842920958
116,Twitter,Video,9040,1177,655,1344,144794,7539,439161,174152,8,Tue,12216,8.436813680124867,2.7816677710452433,0.6171414538310412
117,Instagram,Text,17288,1440,1089,437,186214,32853,177756,35710,11,Sat,20254,10.876733220917869,11.394270798172776,1.6220499654389255
118,YouTube,Video,8425,1844,298,1042,72656,26811,251758,204747,1,Thu,11609,15.978033472803347,4.611174222864815,2.3095012490309244
119,Twitter,Video,10729,2914,1862,224,100625,26928,176946,265239,21,Tue,15729,15.631304347826086,8.889152622834084,1.7119969483120352
120,Instagram,Reel,5241,1980,1061,989,91884,6909,210290,176704,20,Thu,9271,10.089895955770318,4.4086737362689625,0.7452270520979398
121,Twitter,Video,3771,2838,1327,459,122129,28069,333022,70111,0,Wed,8395,6.873879258816497,2.520854478082529,3.34353782013103
122,Instagram,Reel,7392,905,419,393,141949,46084,311152,75677,6,Sun,9109,6.417093463145214,2.9275080989355686,5.059172247228016
